deployment name,protocol name,protocol type,network,status,slug,query-id
saddle-finance-optimism,saddle-finance,dex-amm,optimism,prod,saddle-finance-optimism,CFu1DWY9DyiC25WRmGreowMyuvLB27JfNRCa8rKkTDjK
solarbeam-moonriver,solarbeam,dex-amm,moonriver,prod,solarbeam-moonriver,EoN2oon5KNH6XL1xSQCRsLHFPSZ2xLJD9DApizNtfGWo
spiritswap-fantom,spiritswap,dex-amm,fantom,prod,spiritswap-fantom,ARnDoat2Zyft9miSW8Md6V32nd5YUfngMCDCaNgqLqXv
substream-uniswap-v2-ethereum,uniswap-v2,dex-amm,ethereum,dev,substream-uniswap-v2-ethereum,J2oP9UNBjsnuDDW1fAoHKskyrNLFNBB2badQU6UvEtJp
sushiswap-arbitrum,sushiswap,dex-amm,arbitrum,prod,sushiswap-arbitrum,9tSS5FaePZnjmnXnSKCCqKVLAqA6eGg6jA2oRojsXUbP
sushiswap-avalanche,sushiswap,dex-amm,avalanche,prod,sushiswap-avalanche,4KgG6aek9cEp8MXQZKWCmeJWj5Y77mK9tPRAD1kDQa8Q
sushiswap-bsc,sushiswap,dex-amm,bsc,prod,sushiswap-bsc,7QyoZFgo1bYvTD7bmdBxsjFLjmeDLgBT3nC3H8y6yuKZ
sushiswap-celo,sushiswap,dex-amm,celo,prod,sushiswap-celo,5H97eNhy9fVHcqRXZtCV2UxHG2DbzcFA7yth1TaVZ45x
sushiswap-ethereum,sushiswap,dex-amm,ethereum,prod,sushiswap-ethereum,77jZ9KWeyi3CJ96zkkj5s1CojKPHt6XJKjLFzsDCd8Fd
sushiswap-fantom,sushiswap,dex-amm,fantom,prod,sushiswap-fantom,9wj3CmJFtoe7J25h4t39ioQHXexGe2rbsLfBgLefU7mN
sushiswap-fuse,sushiswap,dex-amm,fuse,prod,sushiswap-fuse,7MhgrLAB5B4D6PLDjF9Stx7fzS54MA3d5oi9dT3fHxbz
sushiswap-gnosis,sushiswap,dex-amm,gnosis,prod,sushiswap-gnosis,GvgkY82DTAkYqRShBbPQMjF1WJyUcknXre3QPWiXrPnS
sushiswap-harmony,sushiswap,dex-amm,harmony,prod,sushiswap-harmony,96NBskquxSxSDV8W42g3nmzECziCvhftSXFFpbY4geaC
sushiswap-moonbeam,sushiswap,dex-amm,moonbeam,prod,sushiswap-moonbeam,8oFzyJBeHoojoe23u3YYNruTZsqgn91q44U8hrFocbtp
sushiswap-moonriver,sushiswap,dex-amm,moonriver,prod,sushiswap-moonriver,EuYBux3ZPq1v3Uipo837WDq6WrK4AB3LGD6w78edRHib
sushiswap-polygon,sushiswap,dex-amm,polygon,prod,sushiswap-polygon,B3Jt84tHJJjanE4W1YijyksTwtm7jqK8KcG5dcoc1ZNF
sushiswap-v3-arbitrum,sushiswap-v3,dex-amm,arbitrum,dev,sushiswap-v3-arbitrum,3oHCddbQGTi42kPZBwyGzD2JzZR33zK2MwXtxAerNJy2
sushiswap-v3-avalanche,sushiswap-v3,dex-amm,avalanche,dev,sushiswap-v3-avalanche,9WGqYsU8h1KVZeKz32663gFrbjVUNhBgmhRavMFqiSZz
sushiswap-v3-ethereum,sushiswap-v3,dex-amm,ethereum,dev,sushiswap-v3-ethereum,2tGWMrDha4164KkFAfkU3rDCtuxGb4q1emXmFdLLzJ8x
sushiswap-v3-gnosis,sushiswap-v3,dex-amm,gnosis,dev,sushiswap-v3-gnosis,9LC6MvaFHXyY3dmxM7VCwGNA9dvM6g2AuZxEGCyfvck3
trader-joe-avalanche,trader-joe,dex-amm,avalanche,prod,trader-joe-avalanche,H2VGe2tYavUEosSjomHwxbvCKy3LaNaW8Kjw2KhhHs1K
ubeswap-celo,ubeswap,dex-amm,celo,prod,ubeswap-celo,9WiZHUk2d3rM4sEQ4NSz6ihFRc2zWmPj7yk8w51dNdhT
uniswap-v2-swap-ethereum,uniswap-v2-swap,dex-amm,ethereum,prod,uniswap-v2-swap-ethereum,3onEbd9MLfXTTWAfP91yqsKr7C68VCT2ZiF7EoQiQAFj
uniswap-v3-arbitrum,uniswap-v3,dex-amm,arbitrum,prod,uniswap-v3-arbitrum,FQ6JYszEKApsBpAmiHesRsd9Ygc6mzmpNRANeVQFYoVX
uniswap-v3-base,uniswap-v3,dex-amm,base,prod,uniswap-v3-base,FUbEPQw1oMghy39fwWBFY5fE6MXPXZQtjncQy2cXdrNS
uniswap-v3-bsc,uniswap-v3,dex-amm,bsc,prod,uniswap-v3-bsc,8f1KyiuNYiNGrjagzEVpf6k6KkPG517prtjdrJihgHw
uniswap-v3-celo,uniswap-v3,dex-amm,celo,prod,uniswap-v3-celo,8cLf29KxAedWLVaEqjV8qKomdwwXQxjptBZFrqWNH5u2
uniswap-v3-ethereum,uniswap-v3,dex-amm,ethereum,prod,uniswap-v3-ethereum,4cKy6QQMc5tpfdx8yxfYeb9TLZmgLQe44ddW1G7NwkA6
uniswap-v3-optimism,uniswap-v3,dex-amm,optimism,prod,uniswap-v3-optimism,EgnS9YE1avupkvCNj9fHnJxppfEmNNywYJtghqiu2pd9
uniswap-v3-polygon,uniswap-v3,dex-amm,polygon,prod,uniswap-v3-polygon,BvYimJ6vCLkk63oWZy7WB5cVDTVVMugUAF35RAUZpQXE
velodrome-finance-v1-optimism,velodrome-finance-v1,dex-amm,optimism,prod,velodrome-optimism,7tA4PY1VmbycJeoVtn2mjQK4NbozgwTuZgrxDTxzEDL1
velodrome-finance-v2-optimism,velodrome-finance-v2,dex-amm,optimism,prod,velodrome-v2-optimism,A4Y1A82YhSLTn998BVVELC8eWzhi992k4ZitByvssxqA
amphor-ethereum,amphor,generic,ethereum,prod,amphor-ethereum,RkDsVce2tRzGWbNAeZJrRy7nLAmMWtxQ6ixerhhw581
bedrock-unieth-ethereum,bedrock-unieth,generic,ethereum,prod,bedrock-unieth-ethereum,69xran7p1VnLJoLrC7g5jeGTWsEkMD5kNqhYaEPbAzx6
benqi-staked-avax-avalanche,benqi-staked-avax,generic,avalanche,prod,benqi-staked-avax-avalanche,6vSK9N1NGT65mRgMtNfoxwPkaMJoJBQJA2Z5G1fKEKCu
binance-staked-eth-bsc,binance-staked-eth,generic,bsc,prod,binance-staked-eth-bsc,todo
binance-staked-eth-ethereum,binance-staked-eth,generic,ethereum,prod,binance-staked-eth-ethereum,todo
chainlink-staking-ethereum,chainlink-staking,generic,ethereum,prod,chainlink-staking-ethereum,CEvNvcykaphaHuipRNsP5fd2LE75QLsFtLnofTcf6JZX
coinbase-wrapped-staked-eth-ethereum,coinbase-wrapped-staked-eth,generic,ethereum,prod,coinbase-wsteth-ethereum,4bPFmTTqoKZcQL8DXj8jBbo86pm4RisAQeuGhZKkvA9X
concentrator-ethereum,concentrator,generic,ethereum,prod,concentrator-ethereum,FigcbmZouBnKctj6zqsvp1LhHiV1pZdVQ6ABrA27w3Lk
cygnus-finance-base,cygnus-finance,generic,base,prod,cygnus-finance-base,ELqNv3KbLggc6kN6uoeKvrbfBpbkQbAorZo3FABZJb6A
dinero-pxeth-ethereum,dinero-pxeth,generic,ethereum,prod,dinero-pxeth-ethereum,todo
eigenlayer-ethereum,eigenlayer,generic,ethereum,prod,eigenlayer-ethereum,68g9WSC4QTUJmMpuSbgLNENrcYha4mPmXhWGCoupM7kB
eigenpie-ethereum,eigenpie,generic,ethereum,prod,eigenpie-ethereum,BbkLSUBpyJv8UiCyMyQBGpngz8qfdhx4LJBqFdHqiwhH
etherfi-ethereum,etherfi,generic,ethereum,prod,etherfi-ethereum,GPwCNqJ5aroTtkk48Y57pBjFHVkeYmMzmBpE1a7WF7Hc
frax-ether-staking-arbitrum,frax-ether-staking,generic,arbitrum,prod,frax-ether-staking-arbitrum,FSafXUhkuwqARZNNe82isspkjQJcPK2PrSjQLvNXuakU
frax-ether-staking-bsc,frax-ether-staking,generic,bsc,prod,frax-ether-staking-bsc,A113zHKpiXzugLyKDVknAxjQ6qFSPQwfiGK7rjiuqbcq
frax-ether-staking-ethereum,frax-ether-staking,generic,ethereum,prod,frax-ether-staking-ethereum,FeKHrGeNxVctN6EeAhba2Kv78xNxuEhbRKNECLfVH8z2
frax-ether-staking-fantom,frax-ether-staking,generic,fantom,prod,frax-ether-staking-fantom,Ba52AgUJfCmWQpBJEwRvygC45iGr9uqnrehpymN2Xmx4
frax-ether-staking-moonbeam,frax-ether-staking,generic,moonbeam,prod,frax-ether-staking-moonbeam,FhaAErF9146bnqJsQD34zPHNC11quKTuk9HBA7RdGrjz
frax-ether-staking-optimism,frax-ether-staking,generic,optimism,prod,frax-ether-staking-optimism,G9nDvQw6S7LkzNxj7oGFZUsahe3ebpAtEww716kWkfZd
frax-ether-staking-polygon,frax-ether-staking,generic,polygon,prod,frax-ether-staking-polygon,FMkrjPgSyGm2UBFrMqpJVwWgGHLek8U39W1M4R9TfP1T
friend-tech-base,friend-tech,generic,base,prod,friend-tech-base,8fjDwMF5JPXYEg3tU45ttTsnp3mdTQd5efhkHhHGHCKj
gaurda-staking-ethereum,gaurda-staking,generic,ethereum,prod,gaurda-staking-ethereum,todo
gogopool-avalanche,gogopool,generic,avalanche,prod,gogopool-avalanche,todo
hyperlock-finance-blast,hyperlock-finance,generic,blast-mainnet,prod,hyperlock-finance-blast,tXk1UdCXjJkyvBRXvc5KvqGGZVSpdsdPoYrTAemT1kV
karak-arbitrum,karak,generic,arbitrum,prod,karak-arbitrum,7kCkjx6GK67WZrVo54UcLWZ7kBx65TogBW1CD316XZgn
karak-bsc,karak,generic,bsc,prod,karak-bsc,8YGDQQgExT7zLJioLRQdcSQko1qgiCjfwVg7TBV6eR7W
karak-ethereum,karak,generic,ethereum,prod,karak-ethereum,2vzPTkDT2DddrRoXtg25AGK55nviKXeJiG21Cu56nurg
kelp-dao-ethereum,kelp-dao,generic,ethereum,prod,kelp-dao-ethereum,BKAuuey1mAQimbeKHWHQTLkFHeSn4Z9cfSJcHBaYhrV2
lido-ethereum,lido,generic,ethereum,prod,lido-ethereum,F7qb71hWab6SuRL5sf6LQLTpNahmqMsBnnweYHzLGUyG
liquid-collective-ethereum,liquid-collective,generic,ethereum,prod,liquid-collective-ethereum,4kRPyZuhGgAcjYuVgbR79qm5WQ3TvXeaqVHRHx6MV5U7
livepeer-arbitrum,livepeer,generic,arbitrum,prod,livepeer-arbitrum,6CdJfr35PDj8AMQikiKGjAUPG2vCu5VLYRawDk8cxwrs
llama-airforce-ethereum,llama-airforce,generic,ethereum,prod,llama-airforce-ethereum,C2EGJcZhx44BMaT9hJ2K2zjPGdYmrnuK7MusKEXaEPPH
lybra-finance-ethereum,lybra-finance,generic,ethereum,prod,lybra-finance-ethereum,2fNZY1J6FzuoHnx8ZTuhiEiM5AhzU3JiC7vp4UqaktSj
mantle-staked-eth-ethereum,mantle-staked-eth,generic,ethereum,prod,mantle-staked-eth-ethereum,VVKZagj4XUyamqXysVBniarN8HMz87DnwkTChuXH18Z
mellow-lrt-ethereum,mellow-lrt,generic,ethereum,prod,mellow-lrt-ethereum,B5asn3DbqssJhSevYyQQUPVrtoXqfnQBqNvp1En52wCY
node-dao-ethereum,node-dao,generic,ethereum,prod,node-dao-ethereum,FfhhdxuMRwc7R2dBZd4MH4NZKRwZm5rqEFzY4XDoEq6x
origin-ether-ethereum,origin-ether,generic,ethereum,prod,origin-ether-ethereum,EYpKTVtNYaVN3LfDi1BCQBxhhUq53BTWcbExDt53cH75
